지형지물부호,관리번호,도로구간번호,관리기관,행정구역,연장,면적,폭원,데이터기준일자
차도포장,436,14,광주시,송정동,2,1.5,0.7,2019-12-25
차도포장,435,120181,광주시,오포읍,4.1,4.13,0.7,2019-12-25
차도포장,434,663,광주시,송정동,554.2,"3,262.00",0.7,2019-12-25
차도포장,433,123297,광주시,초월읍,11.9,12.01,0.7,2019-12-25
차도포장,432,995,광주시,경안동,32,22.4,0.7,2019-12-25
차도포장,431,120499,광주시,오포읍,32.8,"4,294.80",0.7,2019-12-25
차도포장,430,71,광주시,송정동,18.5,63.65,0.7,2019-12-25
차도포장,429,1838,광주시,경안동,51,35.7,0.7,2019-12-25
차도포장,428,123297,광주시,초월읍,15.3,4.2,0.7,2019-12-25
차도포장,426,123195,광주시,곤지암읍,273.5,18,1,2019-12-25
차도포장,425,106,광주시,송정동,287,"2,870.00",10,2019-12-25
차도포장,424,140487,광주시,송정동,7,4,0.7,2019-12-25
차도포장,423,759,광주시,송정동,69,48.3,0.7,2019-12-25
차도포장,422,427,광주시,경안동,6,4.2,0.7,2019-12-25
차도포장,421,120289,광주시,오포읍,0.03,18,0.7,2019-12-25
차도포장,420,175,광주시,송정동,35,24.5,0.7,2019-12-25
차도포장,419,730,광주시,송정동,3,2.1,0.7,2019-12-25
차도포장,418,121389,광주시,오포읍,174.1,177.54,0.7,2019-12-25
차도포장,417,100224,광주시,오포읍,7,4.9,0.7,2019-12-25
차도포장,416,26,광주시,경안동,3,2.1,0.7,2019-12-25
차도포장,415,320011,광주시,남종면,809.3,"9,888.32",1,2019-12-25
차도포장,414,123272,광주시,초월읍,186.3,"1,744.68",10.1,2019-12-25
차도포장,413,123297,광주시,초월읍,10.5,10.4,0.7,2019-12-25
차도포장,412,1329,광주시,경안동,14,9.8,0.7,2019-12-25
차도포장,411,100014,광주시,오포읍,6,4.2,0.7,2019-12-25
차도포장,410,44,광주시,경안동,2,1.5,0.7,2019-12-25
차도포장,409,160771,광주시,광남동,29.11,270.69,10.87,2019-12-25
차도포장,408,122861,광주시,초월읍,293,293,0.3,2019-12-25
차도포장,407,1100,광주시,경안동,4,2.8,0.7,2019-12-25
차도포장,406,122673,광주시,초월읍,193.3,11.2,0.7,2019-12-25
차도포장,405,100235,광주시,오포읍,5,3.5,0.7,2019-12-25
차도포장,404,1676,광주시,경안동,1,3.86,0.7,2019-12-25
